Date,P/L,Amt,,
04-10-2016,6805.082,1064222.145,,
05-10-2016,3009.612,1067231.757,,
06-10-2016,-9200,1058031.757,,
07-10-2016,8482.558,1066514.315,,
10-10-2016,7873.415,1074387.73,,
13-10-2016,4878.095,1079265.825,,
14-10-2016,-2300,1076965.825,,
17-10-2016,-6900,1070065.825,,
18-10-2016,-9200,1060865.825,,
19-10-2016,-4600,1056265.825,,
20-10-2016,-5450.46,1050815.365,,
21-10-2016,-2300,1048515.365,,
24-10-2016,3526.932,1052042.297,,
25-10-2016,342.7842,1052385.082,,
26-10-2016,607.9598,1052993.041,,
28-10-2016,-9200,1043793.041,,
01-11-2016,5001.847,1048794.888,,43520
03-11-2016,-2300,1046494.888,,
04-11-2016,10830.13,1057325.018,,
07-11-2016,-6900,1050425.018,,
08-11-2016,-5476.33,1044948.688,,
10-11-2016,-9200,1035748.688,,
11-11-2016,37769.83,1073518.518,,
16-11-2016,-4600,1068918.518,,
17-11-2016,1525.109,1070443.627,,
18-11-2016,-2300,1068143.627,,
21-11-2016,20220.4,1088364.027,,
22-11-2016,-9200,1079164.027,,
23-11-2016,-2300,1076864.027,,
24-11-2016,3765.419,1080629.446,,
25-11-2016,18641.06,1099270.506,,
28-11-2016,-4156.65,1095113.856,,
29-11-2016,6336.886,1101450.742,,
30-11-2016,14771.14,1116221.882,,
01-12-2016,14570.56,1130792.442,,
05-12-2016,-6900,1123892.442,,
06-12-2016,-3555.4,1120337.042,,
07-12-2016,-6900,1113437.042,,
08-12-2016,-4133.5,1109303.542,,
09-12-2016,-2300,1107003.542,,
12-12-2016,807.2316,1107810.774,,
13-12-2016,-112.906,1107697.868,,
14-12-2016,-4600,1103097.868,,
15-12-2016,6682.946,1109780.814,,
16-12-2016,3513.384,1113294.198,,
19-12-2016,-6900,1106394.198,,
20-12-2016,20632.13,1127026.328,,
21-12-2016,9814.127,1136840.455,,
23-12-2016,-2562.92,1134277.535,,
27-12-2016,-4600,1129677.535,,
28-12-2016,-2966.64,1126710.895,,
29-12-2016,-2300,1124410.895,,
30-12-2016,-6900,1117510.895,,
02-01-2017,-6600,393400,,
03-01-2017,-8800,384600,,
04-01-2017,7839.353,392439.353,,
05-01-2017,-8800,383639.353,,
06-01-2017,13613.72,397253.073,,
09-01-2017,8086.681,405339.754,,
10-01-2017,2943.847,408283.601,,
11-01-2017,-8800,399483.601,,
12-01-2017,16577.55,416061.151,,
13-01-2017,4516.906,420578.057,,
17-01-2017,12752.54,433330.597,,
18-01-2017,179.8989,433510.4959,,
19-01-2017,-2200,431310.4959,,
23-01-2017,1059.595,432370.0909,,
24-01-2017,2473.11,434843.2009,,
25-01-2017,18206.09,453049.2909,,
27-01-2017,-8800,444249.2909,,
30-01-2017,1362.232,445611.5229,,
31-01-2017,2350.616,447962.1389,,
01-02-2017,-6600,441362.1389,,
02-02-2017,246.8691,441609.008,,
03-02-2017,-6600,435009.008,,
06-02-2017,-1231.72,433777.288,,
07-02-2017,8750.052,442527.34,,
08-02-2017,-4813,437714.34,,
09-02-2017,12661.92,450376.26,,
10-02-2017,6698.756,457075.016,,
13-02-2017,-4400,452675.016,,
14-02-2017,-2863.75,449811.266,,
15-02-2017,2333.793,452145.059,,
16-02-2017,2374.244,454519.303,,
17-02-2017,4993.365,459512.668,,
20-02-2017,-2200,457312.668,,
21-02-2017,3218.719,460531.387,,
22-02-2017,11574.48,472105.867,,
23-02-2017,6667.342,478773.209,,
27-02-2017,-4400,474373.209,,
28-02-2017,12775.15,487148.359,,
01-03-2017,-6600,480548.359,,
02-03-2017,-8800,471748.359,,
06-03-2017,13986.79,485735.149,,
07-03-2017,29675.76,515410.909,,
08-03-2017,-2200,513210.909,,
10-03-2017,17336.02,530546.929,,
14-03-2017,-8800,521746.929,,
15-03-2017,-4245.78,517501.149,,
16-03-2017,-8800,508701.149,,
17-03-2017,2899.146,511600.295,,
20-03-2017,-3919.23,507681.065,,
21-03-2017,-4400,503281.065,,
23-03-2017,1024.208,504305.273,,
24-03-2017,-8800,495505.273,,
27-03-2017,6567.626,502072.899,,
28-03-2017,-6600,495472.899,,
30-03-2017,-2200,493272.899,,
31-03-2017,10970.72,504243.619,,
03-04-2017,2601.207,506844.826,,43502
05-04-2017,-8800,498044.826,,
06-04-2017,-4400,493644.826,,
10-04-2017,-6600,487044.826,,
11-04-2017,2529.84,489574.666,,
12-04-2017,4475.966,494050.632,,
13-04-2017,-2200,491850.632,,
17-04-2017,8842.795,500693.427,,
18-04-2017,1785.052,502478.479,,
19-04-2017,-2200,500278.479,,
20-04-2017,-6600,493678.479,,
21-04-2017,4856.813,498535.292,,
24-04-2017,-8800,489735.292,,
25-04-2017,6820.894,496556.186,,
26-04-2017,7711.398,504267.584,,
27-04-2017,22191.92,526459.504,,
28-04-2017,21995.5,548455.004,,
02-05-2017,6624.063,555079.067,,
03-05-2017,28886.5,583965.567,,
04-05-2017,-6600,577365.567,,
05-05-2017,5150.661,582516.228,,
08-05-2017,-6600,575916.228,,
09-05-2017,2393.66,578309.888,,
10-05-2017,7026.202,585336.09,,
11-05-2017,6082.604,591418.694,,
15-05-2017,-8800,582618.694,,
16-05-2017,28733.95,611352.644,,
18-05-2017,13888.95,625241.594,,
19-05-2017,44281.87,669523.464,,
22-05-2017,20508.84,690032.304,,
23-05-2017,14955.07,704987.374,,
24-05-2017,-4843.8,700143.574,,
25-05-2017,-4864.52,695279.054,,
26-05-2017,7326.668,702605.722,,
29-05-2017,38530.24,741135.962,,
31-05-2017,-2659.79,738476.172,,
01-06-2017,13452.78,751928.952,,
02-06-2017,9153.552,761082.504,,
05-06-2017,-8800,752282.504,,
06-06-2017,23780.28,776062.784,,
07-06-2017,-8800,767262.784,,
08-06-2017,2708.787,769971.571,,
09-06-2017,-978.346,768993.225,,
12-06-2017,17372.85,786366.075,,
13-06-2017,45566.18,831932.255,,
14-06-2017,-6600,825332.255,,
15-06-2017,-4400,820932.255,,
16-06-2017,3285.18,824217.435,,
19-06-2017,20293.69,844511.125,,
20-06-2017,727.5828,845238.7078,,
21-06-2017,168.9475,845407.6553,,
22-06-2017,17138.76,862546.4153,,
23-06-2017,9103.478,871649.8933,,
27-06-2017,197.055,871846.9483,,
28-06-2017,-2200,869646.9483,,
29-06-2017,7636.972,877283.9203,,
03-07-2017,510.9849,877794.9052,,
04-07-2017,8368.259,886163.1642,,
05-07-2017,-2200,883963.1642,,
06-07-2017,17590.61,901553.7742,,
11-07-2017,16927.14,918480.9142,,
